"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location"
"3561",111104030,"12/31/2010","12/31/2010",1245,11,"Northeast",1183,901,"VIOLATION OF RESTRAINING ORDER","2000",20,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","AO","Adult Other",901,NA,NA,NA,"1800 N  ALVARADO                     ST","","(34.0871, -118.2576)"
"3562",111104031,"12/31/2010","12/31/2010",1300,11,"Northeast",1148,310,"BURGLARY","0344 1602",51,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","JO","Juv Other",310,NA,NA,NA,"100 E  AVENUE 45","","(34.0961, -118.2072)"
"3563",111104033,"12/31/2010","12/31/2010",2000,11,"Northeast",1123,624,"BATTERY - SIMPLE ASSAULT","0400 0416 0603",33,"M","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"3800    SENECA                       AV","","(34.1229, -118.2598)"
"3564",111104043,"01/01/2011","12/31/2010",1100,11,"Northeast",1123,624,"BATTERY - SIMPLE ASSAULT","0400 2000",41,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"3600    APPLETON                     ST","","(34.1218, -118.2616)"
"3565",111104048,"01/01/2011","12/31/2010",2030,11,"Northeast",1151,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",33,"F","A",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"4900    HOLLYWOOD                    BL","","(34.1018, -118.2962)"
"3566",111104067,"01/02/2011","12/31/2010",1415,11,"Northeast",1115,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1900    CHICKASAW                    AV","","(34.1377, -118.2084)"
"3567",111104081,"01/02/2011","12/31/2010",2340,11,"Northeast",1142,624,"BATTERY - SIMPLE ASSAULT","0416 0429",22,"M","O",735,"NIGHT CLUB (OPEN EVENINGS ONLY)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1700 N  VERMONT                      AV","","(34.1018, -118.2918)"
"3568",111104085,"01/02/2011","12/31/2010",2000,11,"Northeast",1126,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0400 0416 2000",28,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"1300 N  AVENUE 54","","(34.12, -118.1992)"
"3569",111104116,"01/03/2011","12/31/2010",1225,11,"Northeast",1102,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344",73,"M","W",108,"PARKING LOT",NA,"","IC","Invest Cont",420,NA,NA,NA,"2900    LOS FELIZ                    BL","","(34.1265, -118.2628)"
"3570",111104125,"01/03/2011","12/31/2010",1800,11,"Northeast",1179,310,"BURGLARY","0321 0344 1607",NA,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",310,NA,NA,NA,"200 E  AVENUE 41","","(34.0921, -118.2084)"
"3571",111104220,"01/05/2011","12/31/2010",2100,11,"Northeast",1115,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",10,"","",104,"DRIVEWAY",NA,"","IC","Invest Cont",420,NA,NA,NA,"2500    RESERVOIR                    ST","","(34.0813, -118.2679)"
"3572",111104267,"01/05/2011","12/31/2010",2358,11,"Northeast",1141,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344",NA,"M","O",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",341,NA,NA,NA,"5000    HOLLYWOOD                    BL","","(34.1018, -118.2984)"
"3573",111104349,"01/07/2011","12/31/2010",1200,11,"Northeast",1139,922,"CHILD STEALING","",33,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","AO","Adult Other",922,NA,NA,NA,"200 S  AVENUE 59","","(34.1086, -118.1898)"
"3574",111104366,"01/08/2011","12/31/2010",1600,11,"Northeast",1138,624,"BATTERY - SIMPLE ASSAULT","0400 0416",33,"F","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6100    PIEDMONT                     AV","","(34.1131, -118.1894)"
"3575",111106883,"02/26/2011","12/31/2010",1730,11,"Northeast",1133,624,"BATTERY - SIMPLE ASSAULT","0400 0444",55,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"3000    CASITAS                      AV","","(34.1117, -118.2469)"
"3576",111110187,"04/29/2011","12/31/2010",1200,11,"Northeast",1177,354,"THEFT OF IDENTITY","",43,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"2600    ALICE                        ST","","(34.0936, -118.2298)"
"3577",111115728,"08/05/2011","12/31/2010",1200,11,"Northeast",1189,354,"THEFT OF IDENTITY","1822",54,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"100    FRENCH                       AV","","(34.0876, -118.2122)"
"3578",111200502,"01/01/2011","12/31/2010",1600,12,"77th Street",1245,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0319 0416 0411 0421 1251 1309 1402 1813 2000",27,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,998,NA,NA,"FLORENCE                     AV","DENKER                       AV","(33.9746, -118.3046)"
"3579",111204037,"01/01/2011","12/31/2010",1900,12,"77th Street",1273,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1800 W  88TH                         PL","","(33.9582, -118.309)"
"3580",111200513,"01/01/2011","12/31/2010",1700,12,"77th Street",1266,812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060","0360 0515 0518 0505 0531 0536 1251 1258 1402 1415",NA,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",812,NA,NA,NA,"700 W  81ST                         ST","","(33.9655, -118.2856)"
"3581",111204004,"01/01/2011","12/31/2010",1745,12,"77th Street",1241,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0319 0421 0906 1816 1814 2000",41,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,"VERBAL THREAT","IC","Invest Cont",930,NA,NA,NA,"6400    11TH                         AV","","(33.9817, -118.3294)"
"3582",111204005,"01/01/2011","12/31/2010",1530,12,"77th Street",1239,888,"TRESPASSING","0342 1259 1258 1815",NA,"M","O",720,"JUNIOR HIGH SCHOOL",NA,"","IC","Invest Cont",888,NA,NA,NA,"5900 S  VERMONT                      AV","","(33.9875, -118.2915)"
"3583",111204007,"01/01/2011","12/31/2010",2115,12,"77th Street",1253,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0338 0400 0429 1243 1241 2000 1821",39,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"7500    LA SALLE                     AV","","(33.9718, -118.3057)"
"3584",111204019,"01/01/2011","12/31/2010",1915,12,"77th Street",1205,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0319 0360 0416 0602 1206 1242 1414 2002",53,"M","B",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"1100 W  49TH                         ST","","(33.9987, -118.2937)"
"3585",111204024,"01/01/2011","12/31/2010",1000,12,"77th Street",1205,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0312 0319 0334 0443 0906 0913",26,"M","B",101,"STREET",205,"KITCHEN KNIFE","IC","Invest Cont",230,NA,NA,NA,"1400 W  51ST                         ST","","(33.9969, -118.3002)"
"3586",111204025,"01/01/2011","12/31/2010",1000,12,"77th Street",1205,761,"BRANDISH WEAPON","0312 0319 0334 0913",25,"F","B",101,"STREET",102,"HAND GUN","IC","Invest Cont",761,NA,NA,NA,"1400 W  51ST                         ST","","(33.9969, -118.3002)"
"3587",111204026,"01/01/2011","12/31/2010",1925,12,"77th Street",1265,210,"ROBBERY","0216 0305 0326 0337 0344 0408 0421 0605 1309 1822",27,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"8000 S  VERMONT                      AV","","(33.9665, -118.2918)"
"3588",111204031,"01/01/2011","12/31/2010",2000,12,"77th Street",1269,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1000 E  82ND                         ST","","(33.9647, -118.2575)"
"3589",111204034,"12/31/2010","12/31/2010",1155,12,"77th Street",1266,210,"ROBBERY","0305 0344 0416 1309 1822",23,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"8100 S  HOOVER                       ST","","(33.9655, -118.2871)"
"3590",111204035,"12/31/2010","12/31/2010",2250,12,"77th Street",1266,210,"ROBBERY","0104 0325 0334 0411 0601 0913 0917 1266",55,"M","B",202,"LIQUOR STORE",218,"OTHER CUTTING INSTRUMENT","IC","Invest Cont",210,NA,NA,NA,"7900 S  FIGUEROA                     ST","","(33.9679, -118.2827)"
"3591",111204042,"01/01/2011","12/31/2010",2200,12,"77th Street",1266,310,"BURGLARY","0321 0344 0377 1606",34,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"900 W  81ST                         ST","","(33.9655, -118.2893)"
"3592",111204043,"12/31/2010","12/31/2010",2125,12,"77th Street",1211,350,"THEFT, PERSON","0344 1217 1314 1316 1309 1822",19,"M","H",101,"STREET",NA,"","IC","Invest Cont",350,NA,NA,NA,"5300    2ND                          AV","","(33.9951, -118.3193)"
"3593",111204046,"12/31/2010","12/31/2010",2340,12,"77th Street",1243,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 0361 0603 0913",54,"F","B",121,"YARD (RESIDENTIAL/BUSINESS)",NA,"","IC","Invest Cont",740,NA,NA,NA,"1600 W  65TH                         PL","","(33.9798, -118.3046)"
"3594",111204049,"12/31/2010","12/31/2010",2040,12,"77th Street",1249,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0325",33,"M","A",401,"MINI-MART",NA,"","IC","Invest Cont",440,NA,NA,NA,"6900 S  FIGUEROA                     ST","","(33.9774, -118.2827)"
"3595",111204128,"01/03/2011","12/31/2010",1615,12,"77th Street",1232,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0334 0411 0906 0913 0907 1309 1816",37,"M","B",101,"STREET",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",230,NA,NA,NA,"SLAUSON","WEST","(33.989, -118.3352)"
"3596",111204130,"01/03/2011","12/31/2010",1545,12,"77th Street",1211,624,"BATTERY - SIMPLE ASSAULT","0400 0913 1243 2000",40,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"54TH","9TH                          AV","(33.9932, -118.327)"
"3597",111204149,"01/01/2011","12/31/2010",1900,12,"77th Street",1205,330,"BURGLARY FROM VEHICLE","0344 1606",38,"F","B",104,"DRIVEWAY",NA,"","IC","Invest Cont",330,NA,NA,NA,"1100 W  50TH                         ST","","(33.9978, -118.2937)"
"3598",111204156,"01/03/2011","12/31/2010",2310,12,"77th Street",1256,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","",28,"M","B",101,"STREET",102,"HAND GUN","IC","Invest Cont",230,NA,NA,NA,"75TH","VERMONT                      AV","(33.9717, -118.2914)"
"3599",111204157,"01/01/2011","12/31/2010",1700,12,"77th Street",1267,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 1307",39,"M","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"800 W  85TH                         ST","","(33.9613, -118.2871)"
"3600",111204158,"01/03/2011","12/31/2010",2310,12,"77th Street",1256,231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER","",NA,"F","O",101,"STREET",103,"RIFLE","IC","Invest Cont",231,NA,NA,NA,"75TH                         ST","VERMONT                      AV","(33.9717, -118.2914)"
"3601",111204159,"01/03/2011","12/31/2010",2310,12,"77th Street",1256,231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER","",NA,"M","O",101,"STREET",103,"RIFLE","IC","Invest Cont",231,NA,NA,NA,"75TH                         ST","VERMONT                      AV","(33.9717, -118.2914)"
"3602",111204177,"01/03/2011","12/31/2010",2115,12,"77th Street",1231,354,"THEFT OF IDENTITY","0100 0377 0930 1822",44,"F","B",204,"MANUFACTURING COMPANY",NA,"","IC","Invest Cont",354,NA,NA,NA,"4300 W  SLAUSON                      AV","","(33.9889, -118.35)"
"3603",111204263,"01/05/2011","12/31/2010",1800,12,"77th Street",1263,624,"BATTERY - SIMPLE ASSAULT","0319 0416 0419 0417 0429 0906 2000",49,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1600 W  84TH                         PL","","(33.9618, -118.3046)"
"3604",111204264,"01/05/2011","12/31/2010",1000,12,"77th Street",1241,354,"THEFT OF IDENTITY","0377",47,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"6000    10TH                         AV","","(33.9854, -118.3279)"
"3605",111204266,"01/05/2011","12/31/2010",2000,12,"77th Street",1251,624,"BATTERY - SIMPLE ASSAULT","0416 0913 2000",20,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6700    WEST                         BL","","(33.9781, -118.3352)"
"3606",111205333,"01/20/2011","12/31/2010",1800,12,"77th Street",1232,624,"BATTERY - SIMPLE ASSAULT","0444 1814 2000",30,"F","B",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"SLAUSON                      AV","CRENSHAW                     BL","(33.989, -118.3308)"
"3607",111205514,"01/23/2011","12/31/2010",1600,12,"77th Street",1235,649,"DOCUMENT FORGERY / STOLEN FELONY","1501",57,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",649,NA,NA,NA,"1400 W  58TH                         PL","","(33.9884, -118.3002)"
"3608",111206989,"02/12/2011","12/31/2010",1500,12,"77th Street",1266,627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT","0416 1257",NA,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",627,NA,NA,NA,"800 W  79TH                         ST","","(33.9678, -118.2871)"
"3609",111209692,"03/23/2011","12/31/2010",1200,12,"77th Street",1255,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822",54,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"1100 W  76TH                         ST","","(33.9711, -118.294)"
"3610",111304002,"12/31/2010","12/31/2010",2240,13,"Newton",1344,251,"SHOTS FIRED AT INHABITED DWELLING","0906 1100 1407",38,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,"HAND GUN","IC","Invest Cont",251,998,NA,NA,"700 E  42ND                         ST","","(34.0076, -118.2635)"
"3611",111304003,"12/31/2010","12/31/2010",1750,13,"Newton",1352,210,"ROBBERY","0344 0352 0355 0444 1221",25,"F","H",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"200 E  VERNON                       AV","","(34.0039, -118.2717)"
"3612",111304006,"01/01/2011","12/31/2010",2317,13,"Newton",1347,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344 0444 0913",18,"F","H",102,"SIDEWALK",NA,"","AA","Adult Arrest",341,NA,NA,NA,"LONG BEACH","MARTIN LUTHER KING JR","(34.0099, -118.243)"
"3613",111304013,"01/01/2011","12/31/2010",2230,13,"Newton",1323,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"CENTRAL","ADAMS","(34.0188, -118.2549)"
"3614",111304018,"12/31/2010","12/31/2010",2115,13,"Newton",1343,624,"BATTERY - SIMPLE ASSAULT","0431 0913",32,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",512,"MACE/PEPPER SPRAY","AO","Adult Other",624,NA,NA,NA,"600 E  40TH                         PL","","(34.0102, -118.2653)"
"3615",111304019,"12/31/2010","12/31/2010",2200,13,"Newton",1383,210,"ROBBERY","0305 0342 0344 0416 0417 0429 1008 1822",31,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"60TH                         ST","BROADWAY","(33.9851, -118.2783)"
"3616",111304020,"12/31/2010","12/31/2010",2115,13,"Newton",1343,624,"BATTERY - SIMPLE ASSAULT","0400 0429 0913",24,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"600 E  40TH                         PL","","(34.0102, -118.2653)"
"3617",111304026,"01/01/2011","12/31/2010",2300,13,"Newton",1309,330,"BURGLARY FROM VEHICLE","0344 0377 1609",30,"F","B",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"1200 S  SANTA FE                     AV","","(34.0296, -118.2299)"
"3618",111304027,"01/01/2011","12/31/2010",2000,13,"Newton",1333,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"32ND","SAN PEDRO","(34.0163, -118.2624)"
"3619",111304032,"01/01/2011","12/31/2010",2300,13,"Newton",1322,330,"BURGLARY FROM VEHICLE","0329 1307 1402",24,"M","H",101,"STREET",NA,"","AO","Adult Other",330,998,NA,NA,"2100    ADAIR                        ST","","(34.0264, -118.2596)"
"3620",111304037,"01/01/2011","12/31/2010",1905,13,"Newton",1367,624,"BATTERY - SIMPLE ASSAULT","0361 0400 0603 0913",47,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"1600 E  52ND                         ST","","(33.9957, -118.2456)"
"3621",111304038,"01/01/2011","12/31/2010",2230,13,"Newton",1375,624,"BATTERY - SIMPLE ASSAULT","0416 0417 0429 1206 2002",32,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1200 E  57TH                         ST","","(33.9911, -118.2542)"
"3622",111304040,"01/01/2011","12/31/2010",1400,13,"Newton",1363,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0369 0408 0416 0419 0444 0602 1241 1407 2000",39,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,998,NA,NA,"5100    WADSWORTH                    AV","","(33.9966, -118.2586)"
"3623",111304063,"01/02/2011","12/31/2010",2000,13,"Newton",1341,330,"BURGLARY FROM VEHICLE","0329 0344 1307",24,"M","W",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"BROADWAY","39TH                         ST","(34.0121, -118.2768)"
"3624",111304077,"01/02/2011","12/31/2010",1800,13,"Newton",1367,310,"BURGLARY","0344 0358 1601",48,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"1600 E  47TH                         ST","","(34.001, -118.2459)"
"3625",111304110,"01/01/2011","12/31/2010",2130,13,"Newton",1395,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 1236 1300",42,"M","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"6800    AVALON                       BL","","(33.9779, -118.2652)"
"3626",111304157,"01/04/2011","12/31/2010",1700,13,"Newton",1333,330,"BURGLARY FROM VEHICLE","0344 0358 1307 1609",25,"F","H",101,"STREET",NA,"","AA","Adult Arrest",330,NA,NA,NA,"2800    MAPLE                        AV","","(34.0218, -118.2665)"
"3627",111304581,"01/10/2011","12/31/2010",1000,13,"Newton",1385,310,"BURGLARY","0344 0358 1607",63,"M","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"5800    CROCKER                      ST","","(33.9893, -118.2685)"
"3628",111305889,"02/01/2011","12/31/2010",1400,13,"Newton",1341,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344 0701",56,"M","O",203,"OTHER BUSINESS",NA,"","AO","Adult Other",341,NA,NA,NA,"3400 S  BROADWAY","","(34.0192, -118.2738)"
"3629",111504059,"01/02/2011","12/31/2010",1100,15,"N Hollywood",1541,510,"VEHICLE - STOLEN","",10,"","",104,"DRIVEWAY",NA,"","IC","Invest Cont",510,NA,NA,NA,"12600    MORRISON                     ST","","(34.1603, -118.4077)"
"3630",111404004,"01/01/2011","12/31/2010",2330,14,"Pacific",1468,624,"BATTERY - SIMPLE ASSAULT","0416",54,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JA","Juv Arrest",624,NA,NA,NA,"4800    MARIONWOOD                   DR","","(33.9942, -118.4114)"
"3631",111404022,"01/01/2011","12/31/2010",1900,14,"Pacific",1413,331,"THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","0344",23,"F","H",108,"PARKING LOT",NA,"","IC","Invest Cont",331,NA,NA,NA,"HAMPTON","BROOKS","(33.9956, -118.4722)"
"3632",111404031,"01/01/2011","12/31/2010",2040,14,"Pacific",1496,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344",40,"F","A",710,"OTHER PREMISE",NA,"","IC","Invest Cont",341,NA,NA,NA,"9700    AIRPORT                      BL","","(33.9482, -118.386)"
"3633",111404036,"12/31/2010","12/31/2010",1330,14,"Pacific",1454,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329",65,"M","B",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",745,NA,NA,NA,"13100    MINDANAO                     WY","","(33.9866, -118.4363)"
"3634",111404038,"01/01/2011","12/31/2010",1320,14,"Pacific",1477,624,"BATTERY - SIMPLE ASSAULT","0400",22,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"8300    WILEY POST                   AV","","(33.9629, -118.3881)"
"3635",111404050,"01/01/2011","12/31/2010",1450,14,"Pacific",1412,330,"BURGLARY FROM VEHICLE","0344 1300",24,"M","W",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"00    SUNSET                       AV","","(33.9932, -118.4778)"
"3636",111404072,"01/03/2011","12/31/2010",1306,14,"Pacific",1406,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",47,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",740,NA,NA,NA,"3300    MENTONE                      AV","","(34.0286, -118.4118)"
"3637",111404098,"01/03/2011","12/31/2010",1130,14,"Pacific",1413,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344",41,"F","W",710,"OTHER PREMISE",NA,"","IC","Invest Cont",341,NA,NA,NA,"300    HAMPTON                      DR","","(33.9965, -118.477)"
"3638",111404198,"01/04/2011","12/31/2010",2000,14,"Pacific",1432,510,"VEHICLE - STOLEN","",10,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1900    SHELL                        AV","","(33.991, -118.4589)"
"3639",111404111,"01/03/2011","12/31/2010",2205,14,"Pacific",1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","0344",38,"M","O",212,"TRANSPORTATION FACILITY (AIRPORT)",NA,"","IC","Invest Cont",341,NA,NA,NA,"700    WORLD                        WY","","(33.9432, -118.4013)"
"3640",111404122,"01/03/2011","12/31/2010",1900,14,"Pacific",1469,310,"BURGLARY","0344",30,"M","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"5700 W  CENTINELA                    AV","","(33.9765, -118.381)"
"3641",111404127,"01/03/2011","12/31/2010",2030,14,"Pacific",1412,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329",54,"M","O",108,"PARKING LOT",NA,"","IC","Invest Cont",745,NA,NA,NA,"00    NAVY                         ST","","(33.9961, -118.481)"
"3642",111404136,"01/03/2011","12/31/2010",1100,14,"Pacific",1432,310,"BURGLARY","0344",45,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"800    SUPERBA                      AV","","(33.9932, -118.4599)"
"3643",111404191,"01/04/2011","12/31/2010",1100,14,"Pacific",1416,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329",61,"F","W",104,"DRIVEWAY",NA,"","IC","Invest Cont",745,NA,NA,NA,"12500    EVERGLADE                    ST","","(34.012, -118.4422)"
"3644",111404227,"01/04/2011","12/31/2010",1400,14,"Pacific",1425,330,"BURGLARY FROM VEHICLE","0344 1300",75,"M","W",504,"OTHER RESIDENCE",NA,"","IC","Invest Cont",330,NA,NA,NA,"3100    FEDERAL                      AV","","(34.0229, -118.436)"
"3645",111404458,"01/07/2011","12/31/2010",2215,14,"Pacific",1464,331,"THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","1606",59,"M","O",108,"PARKING LOT",NA,"","IC","Invest Cont",331,NA,NA,NA,"7200    CRESCENT PARK","","(33.9693, -118.4268)"
"3646",111404825,"01/14/2011","12/31/2010",1500,14,"Pacific",1424,354,"THEFT OF IDENTITY","0377",65,"M","A",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"12200    LAWLER                       ST","","(34.013, -118.4373)"
